North South University,20025,6730,17519,2508,99,29,1168
University of Science and Technology Chittagong,3261,1516,2821,440,618,308,0
Independent University Bangladesh,6935,2239,5916,1019,33,13,487
Central Women's University,365,365,361,4,0,0,2
International University of Business Agriculture and Technology,8653,2281,8443,207,32,0,2617
International Islamic University Chittagong,9799,3821,8189,1401,177,20,1747
Ahsanullah University of Science and Technology,7069,1617,6830,639,2,2,227
American International University Bangladesh,9762,2368,8624,1138,22,12,1800
East West University,11935,4825,9988,1947,5,1,318
University of Asia Pacific,5112,1634,1038,281,2,0,34
Gono University,4157,1639,4056,101,7,0,117
The People's University of Bangladesh,2945,551,2512,422,0,0,280
Asian University of Bangladesh,8220,2253,5552,2582,67,2,150
Dhaka International University,7153,1106,5896,1257,321,23,245
Manarat International University,2505,1171,2201,304,0,0,125
Brac University,8303,3379,7175,1128,35,16,478
Bangladesh University,5538,1100,8407,731,0,0,34
Leading University,4155,1615,3448,707,0,0,372
Begum Gulchemonara Trust University,3668,978,3668,0,0,0,68
Sylhet International University,1843,623,1483,360,0,0,507
University of Development Alternative,3535,1219,2729,806,0,0,196
Premier University,7551,2946,6487,1046,0,0,644
South East University,10279,2721,8028,2251,17,0,465
Stamford University Bangladesh,7654,2223,6475,1179,27,1,937
Daffodil International University,18290,3757,17042,1284,238,32,288
